"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-03",,"38","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-04",,"47","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-05",,"44","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-06",,"44","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-07",,"46","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-08",,"42","38"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-09",,"43","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-10",,"44","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-11",,"42","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-12",,"41","25"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-13",,"41","22"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-14",,"47","24"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-15",,"37","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-16",,"33","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-17",,"34","22"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-18",,"33","10"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-19",,"44","12"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-20",,"39","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-21",,"43","15"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-22",,"42","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-23",,"44","24"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-24",,"44","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-25",,"42","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-26",,"36","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-27",,"33","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-28",,"38","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-29",,"34","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-30",,"34","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-03-31",,"41","21"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-01",,"41","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-02",,"33","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-03",,"35","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-04",,"37","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-05",,"35","24"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-06",,"36","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-07",,"36","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-08",,"45","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-09",,"40","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-10",,"44","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-11",,"40","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-12",,"45","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-13",,"38","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-14",,"47","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-15",,"44","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-16",,"44","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-17",,"51","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-18",,"53","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-19",,"54","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-20",,"54","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-21",,"57","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-22",,"60","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-23",,"51","42"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-24",,"55","40"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-25",,"53","38"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-26",,"56","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-27",,"55","39"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-28",,"57","38"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-29",,"64","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-04-30",,"73","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-01",,"63","41"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-02",,"55","42"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-03",,"54","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-04",,"55","40"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-05",,"62","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-06",,"64","39"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-07",,"63","41"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-08",,"69","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-09",,"74","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-10",,"74","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-11",,"69","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-12",,"60","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-13",,"62","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-14",,"69","42"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-15",,"66","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-16",,"63","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-17",,"71","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-18",,"68","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-19",,"71","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-20",,"69","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-21",,"62","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-22",,"50","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-23",,"60","44"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-24",,"58","42"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-25",,"63","44"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-26",,"63","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-27",,"64","43"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-28",,"66","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-29",,"59","38"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-30",,"50","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-05-31",,"49","37"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-01",,"52","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-02",,"53","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-03",,"58","42"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-04",,"57","44"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-05",,"62","41"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-06",,"65","43"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-07",,"67","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-08",,"72","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-09",,"78","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-10",,"74","55"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-11",,"77","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-12",,"78","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-13",,"69","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-14",,"62","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-15",,"65","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-16",,"61","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-17",,"67","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-18",,"71","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-19",,"75","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-20",,"77","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-21",,"82","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-22",,"76","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-23",,"81","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-24",,"79","61"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-25",,"71","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-26",,"72","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-27",,"62","52"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-28",,"62","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-29",,"67","44"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-06-30",,"64","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-01",,"74","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-02",,"81","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-03",,"78","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-04",,"72","55"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-05",,"75","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-06",,"81","55"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-07",,"77","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-08",,"74","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-09",,"76","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-10",,"80","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-11",,"74","60"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-12",,"74","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-13",,"70","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-14",,"71","53"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-15",,"74","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-16",,"71","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-17",,"73","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-18",,"74","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-19",,"76","53"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-20",,"81","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-21",,"83","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-22",,"77","60"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-23",,"68","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-24",,"66","61"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-25",,"69","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-26",,"69","52"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-27",,"77","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-28",,"82","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-29",,"83","55"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-30",,"83","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-07-31",,"84","59"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-01",,"75","55"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-02",,"76","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-03",,"81","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-04",,"88","60"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-05",,"89","64"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-06",,"93","62"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-07",,"94","67"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-08",,"94","65"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-09",,"92","68"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-10",,"89","64"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-11",,"90","66"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-12",,"79","65"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-13",,"72","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-14",,"80","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-15",,"78","60"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-16",,"71","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-17",,"70","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-18",,"65","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-19",,"72","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-20",,"75","52"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-21",,"69","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-22",,"69","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-23",,"69","57"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-24",,"69","53"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-25",,"71","53"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-26",,"70","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-27",,"75","53"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-28",,"78","62"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-29",,"74","59"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-30",,"68","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-08-31",,"75","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-01",,"78","59"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-02",,"73","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-03",,"79","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-04",,"68","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-05",,"65","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-06",,"64","53"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-07",,"56","43"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-08",,"66","41"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-09",,"71","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-10",,"68","58"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-11",,"66","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-12",,"64","56"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-13",,"60","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-14",,"62","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-15",,"61","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-16",,"65","48"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-17",,"73","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-18",,"73","52"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-19",,"73","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-20",,"66","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-21",,"59","52"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-22",,"60","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-23",,"64","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-24",,"60","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-25",,"61","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-26",,"64","52"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-27",,"59","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-28",,"59","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-29",,"59","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-09-30",,"57","37"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-01",,"60","54"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-02",,"62","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-03",,"64","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-04",,"54","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-05",,"55","50"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-06",,"58","51"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-07",,"55","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-08",,"50","43"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-09",,"43","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-10",,"43","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-11",,"48","28"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-12",,"52","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-13",,"53","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-14",,"50","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-15",,"49","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-16",,"52","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-17",,"52","44"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-18",,"48","43"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-19",,"47","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-20",,"46","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-21",,"48","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-22",,"46","38"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-23",,"47","42"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-24",,"53","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-25",,"53","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-26",,"56","49"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-27",,"53","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-28",,"56","47"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-29",,"53","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-30",,"52","46"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-10-31",,"46","41"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-01",,"50","43"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-02",,"49","41"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-03",,"54","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-04",,"51","43"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-05",,"51","41"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-06",,"53","45"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-07",,"46","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-08",,"37","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-09",,"42","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-10",,"36","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-11",,"39","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-12",,"46","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-13",,"43","40"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-14",,"43","40"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-15",,"47","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-16",,"43","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-17",,"42","37"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-18",,"40","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-19",,"39","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-20",,"42","29"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-21",,"31","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-22",,"27","20"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-23",,"33","16"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-24",,"34","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-25",,"35","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-26",,"36","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-27",,"44","30"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-28",,"39","34"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-29",,"38","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-11-30",,"38","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-01",,"36","32"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-02",,"41","31"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-03",,"43","39"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-04",,"46","35"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-05",,"42","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-06",,"38","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-07",,"44","26"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-08",,"44","33"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-09",,"45","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-10",,"45","27"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-11",,"43","23"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-12",,"42","36"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-13",,"39","21"
"SW000008525","LINKOEPING MALMSLAETT, SW","1975-12-14",,"40","17"
